sub_score,Percentage of negative
0,0.9629245283018868
1,0.9978213507625272
2,0.9895988112927192
3,0.9869791666666666
4,0.9682926829268292
5,0.9877300613496932
6,0.9786585365853658
7,0.9854227405247813
8,0.9812834224598931
9,0.9762611275964391
10,0.9744318181818182
11,0.9497041420118343
12,0.9545454545454546
13,0.956140350877193
14,0.9713467048710601
15,0.9577922077922078
16,0.9755434782608695
17,0.9731543624161074
18,0.975
19,0.9711538461538461
20,0.9617021276595744
21,0.9795221843003413
22,0.9804560260586319
23,0.9788732394366197
24,0.9636363636363636
25,0.9784172661870504
26,0.967391304347826
27,0.9781659388646288
28,0.9605263157894737
29,0.9493670886075949
30,0.9634703196347032
31,0.9759036144578314
32,0.9744897959183674
33,0.9567307692307693
34,0.9551020408163265
35,0.9862385321100917
36,0.9666666666666667
37,0.9764705882352941
38,0.9418604651162791
39,0.9613259668508287
40,0.967391304347826
41,0.9662162162162162
42,0.9770114942528736
43,0.9647887323943662
44,0.9685863874345549
45,0.9621621621621622
46,0.9870967741935484
47,0.9808917197452229
48,0.9657142857142857
49,0.9444444444444444
50,0.9503105590062112
51,0.9646017699115044
52,0.9847328244274809
53,0.9784172661870504
54,0.9649122807017544
55,0.965034965034965
56,0.9603174603174603
57,0.9927007299270073
58,0.9655172413793104
59,0.9871794871794872
60,0.9629629629629629
61,0.984375
62,0.9858156028368794
63,0.9675324675324676
64,0.9624060150375939
65,0.9821428571428571
66,0.9607843137254902
67,0.9625
68,0.9666666666666667
69,0.9906542056074766
70,0.967032967032967
71,0.9696969696969697
72,0.9537037037037037
73,0.9557522123893806
74,0.9464285714285714
75,0.9444444444444444
76,0.9532710280373832
77,1.0
78,0.9642857142857143
79,0.98
80,0.9891304347826086
81,0.979381443298969
82,1.0
83,0.9782608695652174
84,0.9791666666666666
85,0.9797979797979798
86,0.9753086419753086
87,0.9880952380952381
88,0.9642857142857143
89,0.9789473684210527
90,0.95
91,0.9875
92,0.9761904761904762
93,0.9310344827586207
94,0.958904109589041
95,0.9459459459459459
96,0.9696969696969697
97,0.9230769230769231
