time,(sum(pos) / count(pos) AS `Percentage of positive`)
2016-10-31,0.1891891891891892
2016-11-01,0.097799511002445
2016-11-02,0.1447811447811448
2016-11-03,0.10721247563352826
2016-11-04,0.12429378531073447
2016-11-05,0.12941176470588237
2016-11-06,0.13142857142857142
2016-11-07,0.1493288590604027
2016-11-08,0.16384615384615384
2016-11-09,0.1349141455437449
2016-11-10,0.13062098501070663
2016-11-11,0.14443084455324356
2016-11-12,0.10625
2016-11-13,0.12755905511811025
2016-11-14,0.1260096930533118
2016-11-15,0.11311475409836065
2016-11-16,0.13367174280879865
2016-11-17,0.13454545454545455
2016-11-18,0.14342629482071714
2016-11-19,0.1134020618556701
2016-11-20,0.15308641975308643
2016-11-21,0.15163147792706333
2016-11-22,0.12090163934426229
2016-11-23,0.11545988258317025
2016-11-24,0.12121212121212122
2016-11-25,0.17424242424242425
2016-11-26,0.125
2016-11-27,0.15
2016-11-28,0.125
2016-11-29,0.13814432989690723
2016-11-30,0.1452991452991453
2016-12-01,0.12039312039312039
2016-12-02,0.1278825995807128
2016-12-03,0.1527777777777778
2016-12-04,0.1402116402116402
2016-12-05,0.14148681055155876
2016-12-06,0.10238095238095238
2016-12-07,0.13938053097345132
2016-12-08,0.13333333333333333
2016-12-09,0.13598326359832635
2016-12-10,0.12598425196850394
2016-12-11,0.15714285714285714
2016-12-12,0.11089108910891089
2016-12-13,0.13580246913580246
2016-12-14,0.12941176470588237
2016-12-15,0.16475972540045766
2016-12-16,0.14227642276422764
2016-12-17,0.10317460317460317
2016-12-18,0.11890243902439024
2016-12-19,0.15412844036697249
2016-12-20,0.11058823529411765
2016-12-21,0.11389521640091116
2016-12-22,0.15288220551378445
2016-12-23,0.1745152354570637
2016-12-24,0.12686567164179105
2016-12-25,0.1348314606741573
2016-12-26,0.1566265060240964
2016-12-27,0.14563106796116504
2016-12-28,0.15915915915915915
2016-12-29,0.11392405063291139
2016-12-30,0.15498154981549817
2016-12-31,0.16326530612244897
2017-01-01,0.1
2017-01-02,0.10861423220973783
2017-01-03,0.1044776119402985
2017-01-04,0.13451776649746192
2017-01-05,0.13383838383838384
2017-01-06,0.11691542288557213
2017-01-07,0.13692946058091288
2017-01-08,0.13122171945701358
2017-01-09,0.1331521739130435
2017-01-10,0.13549618320610687
2017-01-11,0.1346153846153846
2017-01-12,0.12734082397003746
2017-01-13,0.1328976034858388
2017-01-14,0.1407185628742515
2017-01-15,0.11764705882352941
2017-01-16,0.13012048192771083
2017-01-17,0.10351966873706005
2017-01-18,0.15011547344110854
2017-01-19,0.13488372093023257
2017-01-20,0.14798850574712644
2017-01-21,0.12931034482758622
2017-01-22,0.13443396226415094
2017-01-23,0.14065510597302505
2017-01-24,0.1220472440944882
2017-01-25,0.1289198606271777
2017-01-26,0.13266998341625208
2017-01-27,0.1520912547528517
2017-01-28,0.14516129032258066
2017-01-29,0.14763779527559054
2017-01-30,0.13360881542699724
2017-01-31,0.1515601783060921
2017-02-01,0.13942307692307693
2017-02-02,0.13997308209959622
2017-02-03,0.11752577319587629
2017-02-04,0.15954415954415954
2017-02-05,0.11444141689373297
2017-02-06,0.1191588785046729
2017-02-07,0.13194444444444445
2017-02-08,0.13480885311871227
2017-02-09,0.1377672209026128
2017-02-10,0.11053984575835475
2017-02-11,0.12461059190031153
2017-02-12,0.11782477341389729
2017-02-13,0.10538116591928251
2017-02-14,0.10377358490566038
2017-02-15,0.14259927797833935
2017-02-16,0.13873873873873874
2017-02-17,0.12897196261682242
2017-02-18,0.13544668587896252
2017-02-19,0.14016172506738545
2017-02-20,0.10666666666666667
2017-02-21,0.11691542288557213
2017-02-22,0.13191489361702127
2017-02-23,0.12629399585921325
2017-02-24,0.12471655328798185
2017-02-25,0.1260053619302949
2017-02-26,0.14705882352941177
2017-02-27,0.10975609756097561
2017-02-28,0.12348178137651822
2017-03-01,0.12240184757505773
2017-03-02,0.11421911421911422
2017-03-03,0.10511363636363637
2017-03-04,0.11418685121107267
2017-03-05,0.09859154929577464
2017-03-06,0.1375770020533881
2017-03-07,0.1368653421633554
2017-03-08,0.1012987012987013
2017-03-09,0.14326647564469913
2017-03-10,0.10638297872340426
2017-03-11,0.08771929824561403
2017-03-12,0.13257575757575757
2017-03-13,0.1415929203539823
2017-03-14,0.1407766990291262
2017-03-15,0.13861386138613863
2017-03-16,0.08375634517766498
2017-03-17,0.13941018766756033
2017-03-18,0.1310344827586207
2017-03-19,0.09363295880149813
2017-03-20,0.09730848861283643
2017-03-21,0.09736842105263158
2017-03-22,0.09839357429718876
2017-03-23,0.10821643286573146
2017-03-24,0.10780669144981413
2017-03-25,0.1575091575091575
2017-03-26,0.10909090909090909
2017-03-27,0.138328530259366
2017-03-28,0.13803680981595093
2017-03-29,0.08659217877094973
2017-03-30,0.1188118811881188
2017-03-31,0.09946236559139784
2017-04-01,0.13229571984435798
2017-04-02,0.09829059829059829
2017-04-03,0.11232876712328767
2017-04-04,0.14324324324324325
2017-04-05,0.10301507537688442
2017-04-06,0.12548262548262548
2017-04-07,0.10101010101010101
2017-04-08,0.12653061224489795
2017-04-09,0.11160714285714286
2017-04-10,0.087248322147651
2017-04-11,0.1108433734939759
2017-04-12,0.1322314049586777
2017-04-13,0.12612612612612611
2017-04-14,0.11619718309859155
2017-04-15,0.1497326203208556
2017-04-16,0.107981220657277
2017-04-17,0.11447811447811448
2017-04-18,0.11678832116788321
2017-04-19,0.11586901763224182
2017-04-20,0.12684365781710916
2017-04-21,0.12244897959183673
2017-04-22,0.12121212121212122
2017-04-23,0.12195121951219512
