com_score,Percentage of positive
211,0.0
212,0.0
213,0.0
214,0.2
215,0.16666666666666666
216,0.2222222222222222
217,0.1111111111111111
218,0.0
219,0.0
220,0.5
221,0.14285714285714285
222,0.4
223,0.0
224,0.2222222222222222
225,0.0
226,0.25
227,0.0
228,0.16666666666666666
229,0.0
230,0.0
231,0.4
232,0.0
233,0.2
234,0.0
235,0.25
236,1.0
237,0.0
238,0.125
239,0.0
240,0.3333333333333333
241,0.0
242,0.25
243,0.0
244,0.3333333333333333
245,0.0
246,0.25
247,0.14285714285714285
248,0.0
249,0.0
250,0.2857142857142857
251,0.0
252,0.2
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.125
262,0.0
263,0.6666666666666666
264,0.2857142857142857
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.16666666666666666
273,0.0
274,0.0
275,0.1111111111111111
276,0.2
277,0.0
278,0.2857142857142857
279,0.25
280,0.0
281,0.16666666666666666
282,0.0
283,0.0
284,0.0
285,0.25
286,0.0
287,0.25
288,0.0
289,0.0
290,0.0
291,0.25
292,0.25
293,0.0
294,0.0
295,0.25
296,0.5
297,0.0
298,0.14285714285714285
299,0.16666666666666666
300,0.16666666666666666
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.16666666666666666
315,0.25
316,0.3333333333333333
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.25
324,0.0
325,0.0
326,0.0
328,0.0
329,0.16666666666666666
330,1.0
331,0.0
333,0.25
334,0.0
335,0.3333333333333333
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.25
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.25
352,0.0
353,0.0
354,0.0
355,1.0
356,0.5
357,0.0
358,0.5
359,0.0
361,0.0
362,0.5
363,0.0
364,0.2
365,0.3333333333333333
366,0.3333333333333333
368,0.5
369,0.2
370,0.0
371,0.0
372,0.5
373,0.0
374,0.25
375,0.16666666666666666
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
