sub_score,Percentage of positive
157,0.1509433962264151
158,0.14285714285714285
159,0.045454545454545456
160,0.08333333333333333
161,0.1
162,0.09615384615384616
163,0.15789473684210525
164,0.058823529411764705
165,0.14
166,0.11538461538461539
167,0.2127659574468085
168,0.11864406779661017
169,0.07692307692307693
170,0.07692307692307693
171,0.1206896551724138
172,0.18181818181818182
173,0.12903225806451613
174,0.10869565217391304
175,0.15217391304347827
176,0.09302325581395349
177,0.1
178,0.15384615384615385
179,0.1276595744680851
180,0.11428571428571428
181,0.125
182,0.10909090909090909
183,0.11904761904761904
184,0.10869565217391304
185,0.19607843137254902
186,0.15789473684210525
187,0.07142857142857142
188,0.2
189,0.045454545454545456
190,0.11320754716981132
191,0.10714285714285714
192,0.09302325581395349
193,0.15384615384615385
194,0.04
195,0.125
196,0.17073170731707318
197,0.043478260869565216
198,0.11428571428571428
199,0.07692307692307693
200,0.16
201,0.15789473684210525
202,0.06818181818181818
203,0.05128205128205128
204,0.14285714285714285
205,0.061224489795918366
206,0.09090909090909091
207,0.0847457627118644
208,0.1346153846153846
209,0.058823529411764705
210,0.0847457627118644
211,0.07692307692307693
212,0.08571428571428572
213,0.12121212121212122
214,0.13513513513513514
215,0.08928571428571429
216,0.14583333333333334
217,0.1951219512195122
218,0.18604651162790697
219,0.1
220,0.14893617021276595
221,0.125
222,0.1875
223,0.05405405405405406
224,0.08823529411764706
225,0.1836734693877551
226,0.14705882352941177
227,0.075
228,0.09375
229,0.045454545454545456
230,0.11764705882352941
231,0.18181818181818182
232,0.06666666666666667
233,0.03333333333333333
234,0.13513513513513514
235,0.125
236,0.11428571428571428
237,0.05714285714285714
238,0.14893617021276595
239,0.12962962962962962
240,0.175
241,0.14285714285714285
242,0.15384615384615385
243,0.03125
244,0.0851063829787234
245,0.11428571428571428
246,0.08823529411764706
247,0.14285714285714285
248,0.02702702702702703
249,0.02857142857142857
250,0.07692307692307693
251,0.03225806451612903
252,0.10344827586206896
253,0.13043478260869565
254,0.11764705882352941
255,0.075
256,0.16129032258064516
257,0.13793103448275862
258,0.09090909090909091
259,0.0196078431372549
260,0.2
261,0.13333333333333333
262,0.045454545454545456
263,0.0625
264,0.13157894736842105
265,0.08823529411764706
266,0.03333333333333333
267,0.09375
268,0.17073170731707318
269,0.10810810810810811
270,0.12121212121212122
271,0.0851063829787234
272,0.02631578947368421
273,0.0625
274,0.1
275,0.1
276,0.25
277,0.12195121951219512
278,0.034482758620689655
279,0.13333333333333333
280,0.07142857142857142
281,0.09375
282,0.08888888888888889
283,0.16666666666666666
284,0.11428571428571428
285,0.0
286,0.13636363636363635
287,0.15625
288,0.13636363636363635
289,0.15789473684210525
290,0.07692307692307693
291,0.10909090909090909
292,0.06896551724137931
293,0.05263157894736842
294,0.058823529411764705
295,0.07692307692307693
296,0.1891891891891892
297,0.12903225806451613
298,0.12121212121212122
299,0.125
300,0.0
301,0.16666666666666666
302,0.13513513513513514
303,0.08695652173913043
304,0.2
305,0.18421052631578946
306,0.08571428571428572
307,0.06896551724137931
308,0.3125
309,0.08695652173913043
310,0.0967741935483871
311,0.0967741935483871
312,0.11538461538461539
313,0.0625
314,0.23255813953488372
315,0.04
316,0.1
317,0.14814814814814814
318,0.11764705882352941
319,0.1
320,0.034482758620689655
321,0.10714285714285714
322,0.15384615384615385
323,0.2916666666666667
324,0.0
325,0.21428571428571427
326,0.25
327,0.1
328,0.14285714285714285
329,0.1724137931034483
330,0.2222222222222222
331,0.13636363636363635
332,0.11538461538461539
333,0.12
334,0.13333333333333333
335,0.12
336,0.05555555555555555
337,0.16666666666666666
338,0.125
339,0.09302325581395349
340,0.06060606060606061
341,0.11764705882352941
342,0.08695652173913043
343,0.030303030303030304
344,0.034482758620689655
345,0.038461538461538464
346,0.2
347,0.1
348,0.0
349,0.14285714285714285
350,0.14814814814814814
351,0.0
352,0.18518518518518517
353,0.15789473684210525
354,0.08
355,0.16129032258064516
356,0.11538461538461539
357,0.1
358,0.02564102564102564
359,0.05263157894736842
360,0.07142857142857142
361,0.12
362,0.26666666666666666
363,0.06666666666666667
364,0.19047619047619047
365,0.075
366,0.09523809523809523
367,0.08823529411764706
368,0.13043478260869565
369,0.041666666666666664
370,0.0
371,0.05555555555555555
372,0.1
373,0.07894736842105263
374,0.038461538461538464
375,0.06666666666666667
376,0.10344827586206896
377,0.07407407407407407
378,0.07692307692307693
379,0.19230769230769232
380,0.23809523809523808
381,0.0
382,0.04
383,0.17857142857142858
384,0.19047619047619047
385,0.07407407407407407
386,0.18181818181818182
387,0.0
388,0.14285714285714285
389,0.20833333333333334
390,0.2692307692307692
391,0.09090909090909091
392,0.1
393,0.21052631578947367
394,0.28
395,0.08333333333333333
396,0.07142857142857142
397,0.13793103448275862
398,0.05
399,0.09090909090909091
400,0.07692307692307693
401,0.08108108108108109
402,0.07692307692307693
403,0.05714285714285714
404,0.10344827586206896
405,0.26666666666666666
406,0.07142857142857142
407,0.16666666666666666
408,0.17391304347826086
409,0.07692307692307693
410,0.3333333333333333
411,0.11538461538461539
412,0.038461538461538464
413,0.13043478260869565
414,0.3
415,0.1
416,0.07407407407407407
417,0.09090909090909091
418,0.05
419,0.0
420,0.15625
421,0.13333333333333333
422,0.11538461538461539
423,0.0
424,0.2
425,0.23529411764705882
426,0.047619047619047616
427,0.10714285714285714
428,0.1875
429,0.13333333333333333
430,0.08333333333333333
431,0.0
432,0.10344827586206896
433,0.23809523809523808
434,0.11538461538461539
435,0.09090909090909091
436,0.11538461538461539
437,0.13333333333333333
438,0.07894736842105263
439,0.28
440,0.1
441,0.11538461538461539
442,0.06382978723404255
443,0.12
444,0.0
