time,(sum(neg) / count(neg) AS `Percentage of negative`)
2016-10-31,1.0
2016-11-01,0.9584352078239609
2016-11-02,0.9646464646464646
2016-11-03,0.9766081871345029
2016-11-04,0.9585687382297552
2016-11-05,0.96
2016-11-06,0.9657142857142857
2016-11-07,0.959731543624161
2016-11-08,0.9592307692307692
2016-11-09,0.9509403107113655
2016-11-10,0.949678800856531
2016-11-11,0.9485924112607099
2016-11-12,0.940625
2016-11-13,0.9464566929133859
2016-11-14,0.9466882067851373
2016-11-15,0.9475409836065574
2016-11-16,0.9644670050761421
2016-11-17,0.9490909090909091
2016-11-18,0.954183266932271
2016-11-19,0.9536082474226805
2016-11-20,0.9703703703703703
2016-11-21,0.9481765834932822
2016-11-22,0.9754098360655737
2016-11-23,0.9628180039138943
2016-11-24,0.9641873278236914
2016-11-25,0.9545454545454546
2016-11-26,0.9583333333333334
2016-11-27,0.9666666666666667
2016-11-28,0.9599056603773585
2016-11-29,0.9484536082474226
2016-11-30,0.9636752136752137
2016-12-01,0.9582309582309583
2016-12-02,0.9538784067085954
2016-12-03,0.9472222222222222
2016-12-04,0.9629629629629629
2016-12-05,0.9712230215827338
2016-12-06,0.969047619047619
2016-12-07,0.9668141592920354
2016-12-08,0.9769230769230769
2016-12-09,0.9623430962343096
2016-12-10,0.952755905511811
2016-12-11,0.9595238095238096
2016-12-12,0.9465346534653465
2016-12-13,0.9567901234567902
2016-12-14,0.9529411764705882
2016-12-15,0.9633867276887872
2016-12-16,0.9695121951219512
2016-12-17,0.9523809523809523
2016-12-18,0.9542682926829268
2016-12-19,0.9431192660550459
2016-12-20,0.9482352941176471
2016-12-21,0.958997722095672
2016-12-22,0.9473684210526315
2016-12-23,0.9529085872576177
2016-12-24,0.9440298507462687
2016-12-25,0.949438202247191
2016-12-26,0.9437751004016064
2016-12-27,0.9644012944983819
2016-12-28,0.93993993993994
2016-12-29,0.939873417721519
2016-12-30,0.959409594095941
2016-12-31,0.9673469387755103
2017-01-01,0.95
2017-01-02,0.9325842696629213
2017-01-03,0.9731343283582089
2017-01-04,0.9593908629441624
2017-01-05,0.9696969696969697
2017-01-06,0.945273631840796
2017-01-07,0.970954356846473
2017-01-08,0.9457013574660633
2017-01-09,0.9538043478260869
2017-01-10,0.9599236641221374
2017-01-11,0.9629120879120879
2017-01-12,0.9588014981273408
2017-01-13,0.9607843137254902
2017-01-14,0.9700598802395209
2017-01-15,0.9439775910364145
2017-01-16,0.9686746987951808
2017-01-17,0.9503105590062112
2017-01-18,0.9515011547344111
2017-01-19,0.9674418604651163
2017-01-20,0.9626436781609196
2017-01-21,0.9676724137931034
2017-01-22,0.9716981132075472
2017-01-23,0.9614643545279383
2017-01-24,0.9645669291338582
2017-01-25,0.9773519163763066
2017-01-26,0.9684908789386402
2017-01-27,0.9638783269961977
2017-01-28,0.9713261648745519
2017-01-29,0.9586614173228346
2017-01-30,0.9710743801652892
2017-01-31,0.9569093610698366
2017-02-01,0.9775641025641025
2017-02-02,0.955585464333782
2017-02-03,0.9587628865979382
2017-02-04,0.9601139601139601
2017-02-05,0.9645776566757494
2017-02-06,0.9672897196261683
2017-02-07,0.9409722222222222
2017-02-08,0.9678068410462777
2017-02-09,0.9762470308788599
2017-02-10,0.961439588688946
2017-02-11,0.9501557632398754
2017-02-12,0.9667673716012085
2017-02-13,0.9730941704035875
2017-02-14,0.9660377358490566
2017-02-15,0.9729241877256317
2017-02-16,0.972972972972973
2017-02-17,0.9420560747663551
2017-02-18,0.9827089337175793
2017-02-19,0.9703504043126685
2017-02-20,0.9733333333333334
2017-02-21,0.9676616915422885
2017-02-22,0.9617021276595744
2017-02-23,0.9461697722567288
2017-02-24,0.9569160997732427
2017-02-25,0.9624664879356568
2017-02-26,0.9477124183006536
2017-02-27,0.9560975609756097
2017-02-28,0.9696356275303644
2017-03-01,0.9491916859122402
2017-03-02,0.9813519813519813
2017-03-03,0.96875
2017-03-04,0.9896193771626297
2017-03-05,0.9683098591549296
2017-03-06,0.9609856262833676
2017-03-07,0.9646799116997793
2017-03-08,0.9688311688311688
2017-03-09,0.9627507163323782
2017-03-10,0.9787234042553191
2017-03-11,0.9780701754385965
2017-03-12,0.9507575757575758
2017-03-13,0.967551622418879
2017-03-14,0.9684466019417476
2017-03-15,0.9554455445544554
2017-03-16,0.9822335025380711
2017-03-17,0.967828418230563
2017-03-18,0.9482758620689655
2017-03-19,0.9550561797752809
2017-03-20,0.9523809523809523
2017-03-21,0.9526315789473684
2017-03-22,0.9618473895582329
2017-03-23,0.9599198396793587
2017-03-24,0.9572490706319703
2017-03-25,0.9926739926739927
2017-03-26,0.9818181818181818
2017-03-27,0.9913544668587896
2017-03-28,0.9570552147239264
2017-03-29,0.9720670391061452
2017-03-30,0.9782178217821782
2017-03-31,0.9865591397849462
2017-04-01,0.980544747081712
2017-04-02,0.9615384615384616
2017-04-03,0.9534246575342465
2017-04-04,0.9513513513513514
2017-04-05,0.9673366834170855
2017-04-06,0.9420849420849421
2017-04-07,0.9772727272727273
2017-04-08,0.9714285714285714
2017-04-09,0.9910714285714286
2017-04-10,0.9899328859060402
2017-04-11,0.9734939759036144
2017-04-12,0.9449035812672176
2017-04-13,0.975975975975976
2017-04-14,0.9753521126760564
2017-04-15,0.946524064171123
2017-04-16,0.9436619718309859
2017-04-17,0.9696969696969697
2017-04-18,0.9586374695863747
2017-04-19,0.9395465994962217
2017-04-20,0.9498525073746312
2017-04-21,0.9825072886297376
2017-04-22,0.961038961038961
2017-04-23,0.9715447154471545
2017-04-24,0.9609120521172638
